variant,trial,op_mix,skew,keys,threads,cap,shards,ops,total_elapsed_ns,aggregate_mops,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c9,2,read-heavy,0.7,1000000,1,16384,256,4000000,537381931,7.4435,0.2207,123.84,256.97,0.0000
moka,0,read-heavy,0.7,1000000,1,16384,0,4000000,1599241252,2.5012,0.2265,368.66,750.32,0.0000
moka,1,read-heavy,0.7,1000000,1,16384,0,4000000,1630555583,2.4532,0.2263,373.11,770.68,0.0000
moka,2,read-heavy,0.7,1000000,1,16384,0,4000000,1606622032,2.4897,0.2264,373.10,653.64,0.0000
mini_moka,0,read-heavy,0.7,1000000,1,16384,0,4000000,1555276946,2.5719,0.2263,360.80,639.53,0.0000
mini_moka,1,read-heavy,0.7,1000000,1,16384,0,4000000,1563975521,2.5576,0.2266,355.69,703.62,0.0000
mini_moka,2,read-heavy,0.7,1000000,1,16384,0,4000000,1514523822,2.6411,0.2266,358.12,625.82,0.0000
c8,0,read-heavy,0.7,1000000,2,16384,256,8000000,643853398,12.4252,0.2294,151.24,264.21,0.0034
c8,1,read-heavy,0.7,1000000,2,16384,256,8000000,634896192,12.6005,0.2292,150.09,288.30,0.0040
c8,2,read-heavy,0.7,1000000,2,16384,256,8000000,640375507,12.4927,0.2293,150.67,284.13,0.0050
c9,0,read-heavy,0.7,1000000,2,16384,256,8000000,663276271,12.0613,0.2287,157.01,287.26,0.0000
c9,1,read-heavy,0.7,1000000,2,16384,256,8000000,688476129,11.6199,0.2290,158.40,329.75,0.0039
c9,2,read-heavy,0.7,1000000,2,16384,256,8000000,681978736,11.7306,0.2290,160.84,314.02,0.0027
moka,0,read-heavy,0.7,1000000,2,16384,0,8000000,2196369582,3.6424,0.2366,522.67,862.69,0.0050
moka,1,read-heavy,0.7,1000000,2,16384,0,8000000,2219702297,3.6041,0.2361,528.10,857.62,0.0013
moka,2,read-heavy,0.7,1000000,2,16384,0,8000000,2259370585,3.5408,0.2365,533.87,1023.68,0.0007
mini_moka,0,read-heavy,0.7,1000000,2,16384,0,8000000,2457824503,3.2549,0.2363,588.99,936.34,0.0004
mini_moka,1,read-heavy,0.7,1000000,2,16384,0,8000000,2499922270,3.2001,0.2361,583.54,990.37,0.0025
mini_moka,2,read-heavy,0.7,1000000,2,16384,0,8000000,2451489944,3.2633,0.2361,580.63,915.96,0.0011
c8,0,read-heavy,0.7,1000000,4,16384,256,16000000,805503523,19.8634,0.2366,184.88,377.39,0.0113
c8,1,read-heavy,0.7,1000000,4,16384,256,16000000,873250575,18.3223,0.2366,192.06,524.85,0.0075
c8,2,read-heavy,0.7,1000000,4,16384,256,16000000,852185761,18.7752,0.2363,191.19,408.02,0.0120
c9,0,read-heavy,0.7,1000000,4,16384,256,16000000,878998255,18.2025,0.2366,200.77,443.09,0.0080
c9,1,read-heavy,0.7,1000000,4,16384,256,16000000,831691345,19.2379,0.2366,193.90,378.57,0.0095
c9,2,read-heavy,0.7,1000000,4,16384,256,16000000,845953618,18.9136,0.2364,191.17,390.66,0.0146
moka,0,read-heavy,0.7,1000000,4,16384,0,16000000,2821982912,5.6698,0.2437,680.96,1133.98,0.0059
moka,1,read-heavy,0.7,1000000,4,16384,0,16000000,2831192047,5.6513,0.2433,686.56,1071.28,0.0067
moka,2,read-heavy,0.7,1000000,4,16384,0,16000000,2920305992,5.4789,0.2434,705.69,1167.29,0.0072
mini_moka,0,read-heavy,0.7,1000000,4,16384,0,16000000,3022432335,5.2937,0.2435,727.26,1138.12,0.0035
mini_moka,1,read-heavy,0.7,1000000,4,16384,0,16000000,3014877137,5.3070,0.2435,722.38,1138.88,0.0090
mini_moka,2,read-heavy,0.7,1000000,4,16384,0,16000000,2997772563,5.3373,0.2437,726.54,1078.48,0.0029
c8,0,read-heavy,0.7,1000000,8,16384,256,32000000,1256765724,25.4622,0.2411,316.34,514.92,0.0244
c8,1,read-heavy,0.7,1000000,8,16384,256,32000000,1224497823,26.1332,0.2411,317.76,487.55,0.0271
c8,2,read-heavy,0.7,1000000,8,16384,256,32000000,1211693404,26.4093,0.2409,283.99,481.14,0.0222
c9,0,read-heavy,0.7,1000000,8,16384,256,32000000,1216286789,26.3096,0.2412,256.75,575.97,0.0137
c9,1,read-heavy,0.7,1000000,8,16384,256,32000000,1243385216,25.7362,0.2413,265.17,590.03,0.0093
c9,2,read-heavy,0.7,1000000,8,16384,256,32000000,1302729105,24.5638,0.2410,287.75,648.92,0.0105
moka,0,read-heavy,0.7,1000000,8,16384,0,32000000,4764162328,6.7168,0.2470,1140.71,2007.68,0.0061
moka,1,read-heavy,0.7,1000000,8,16384,0,32000000,4974853339,6.4324,0.2469,1171.83,2191.07,0.0031
moka,2,read-heavy,0.7,1000000,8,16384,0,32000000,4825854602,6.6309,0.2467,1149.44,2013.15,0.0120
mini_moka,0,read-heavy,0.7,1000000,8,16384,0,32000000,4827539650,6.6286,0.2472,1175.79,1765.59,0.0084
mini_moka,1,read-heavy,0.7,1000000,8,16384,0,32000000,5219915010,6.1304,0.2477,1245.29,2091.30,0.0132
mini_moka,2,read-heavy,0.7,1000000,8,16384,0,32000000,4853242694,6.5935,0.2477,1182.94,1874.49,0.0049
c8,0,read-heavy,0.7,1000000,16,16384,256,64000000,2072716065,30.8774,0.2435,469.64,1361.06,0.0154
c8,1,read-heavy,0.7,1000000,16,16384,256,64000000,2087092048,30.6647,0.2433,472.81,1357.30,0.0184
c8,2,read-heavy,0.7,1000000,16,16384,256,64000000,2079739506,30.7731,0.2436,469.52,1429.54,0.0234
c9,0,read-heavy,0.7,1000000,16,16384,256,64000000,2342492550,27.3213,0.2436,514.68,1642.09,0.0117
c9,1,read-heavy,0.7,1000000,16,16384,256,64000000,2275870487,28.1211,0.2434,508.97,1407.57,0.0140
c9,2,read-heavy,0.7,1000000,16,16384,256,64000000,2332602482,27.4372,0.2437,519.65,1459.92,0.0144
moka,0,read-heavy,0.7,1000000,16,16384,0,64000000,7200231226,8.8886,0.2444,1662.39,3712.04,0.0092
moka,1,read-heavy,0.7,1000000,16,16384,0,64000000,7221218140,8.8628,0.2441,1668.39,3786.28,0.0100
moka,2,read-heavy,0.7,1000000,16,16384,0,64000000,7294184706,8.7741,0.2444,1679.96,3789.80,0.0092
mini_moka,0,read-heavy,0.7,1000000,16,16384,0,64000000,8622895885,7.4221,0.2485,1997.50,4571.44,0.0116
mini_moka,1,read-heavy,0.7,1000000,16,16384,0,64000000,9037647430,7.0815,0.2490,1955.24,5629.33,0.0166
mini_moka,2,read-heavy,0.7,1000000,16,16384,0,64000000,9004838681,7.1073,0.2485,2058.50,5535.35,0.0074
c8,0,read-heavy,1,1000000,1,16384,256,4000000,407196573,9.8233,0.6485,96.00,217.13,0.0000
c8,1,read-heavy,1,1000000,1,16384,256,4000000,410865370,9.7355,0.6485,94.87,211.80,0.0000
c8,2,read-heavy,1,1000000,1,16384,256,4000000,419672586,9.5312,0.6485,97.30,187.79,0.0000
c9,0,read-heavy,1,1000000,1,16384,256,4000000,437135039,9.1505,0.6485,99.26,261.36,0.0000
c9,1,read-heavy,1,1000000,1,16384,256,4000000,393210602,10.1727,0.6485,94.14,164.43,0.0000
c9,2,read-heavy,1,1000000,1,16384,256,4000000,571900485,6.9942,0.6485,126.31,325.25,0.0000
moka,0,read-heavy,1,1000000,1,16384,0,4000000,1504298316,2.6590,0.6516,312.49,1036.43,0.0000
moka,1,read-heavy,1,1000000,1,16384,0,4000000,1290808744,3.0988,0.6526,297.89,565.98,0.0000
moka,2,read-heavy,1,1000000,1,16384,0,4000000,1260446699,3.1735,0.6503,295.25,527.76,0.0000
mini_moka,0,read-heavy,1,1000000,1,16384,0,4000000,1691858731,2.3643,0.6525,350.75,1040.81,0.0000
mini_moka,1,read-heavy,1,1000000,1,16384,0,4000000,1308188832,3.0577,0.6527,314.09,534.53,0.0000
mini_moka,2,read-heavy,1,1000000,1,16384,0,4000000,1285204418,3.1123,0.6518,310.21,504.83,0.0000
c8,0,read-heavy,1,1000000,2,16384,256,8000000,520942016,15.3568,0.6547,121.18,237.27,0.0032
c8,1,read-heavy,1,1000000,2,16384,256,8000000,480265256,16.6575,0.6547,115.47,203.40,0.0032
c8,2,read-heavy,1,1000000,2,16384,256,8000000,475400035,16.8279,0.6548,115.42,189.76,0.0005
c9,0,read-heavy,1,1000000,2,16384,256,8000000,544921609,14.6810,0.6548,128.63,264.60,0.0078
c9,1,read-heavy,1,1000000,2,16384,256,8000000,551637268,14.5023,0.6550,132.29,238.82,0.0056
c9,2,read-heavy,1,1000000,2,16384,256,8000000,533113224,15.0062,0.6548,127.95,228.20,0.0024
moka,0,read-heavy,1,1000000,2,16384,0,8000000,1884747126,4.2446,0.6592,458.10,744.92,0.0040
moka,1,read-heavy,1,1000000,2,16384,0,8000000,1888663911,4.2358,0.6588,459.79,761.70,0.0009
moka,2,read-heavy,1,1000000,2,16384,0,8000000,1852405174,4.3187,0.6594,452.29,759.93,0.0042
mini_moka,0,read-heavy,1,1000000,2,16384,0,8000000,2272169546,3.5209,0.6593,554.84,825.91,0.0020
mini_moka,1,read-heavy,1,1000000,2,16384,0,8000000,2333824793,3.4278,0.6595,566.09,924.20,0.0023
mini_moka,2,read-heavy,1,1000000,2,16384,0,8000000,2337749366,3.4221,0.6597,570.45,863.74,0.0008
c8,0,read-heavy,1,1000000,4,16384,256,16000000,573931350,27.8779,0.6594,135.78,250.48,0.0035
c8,1,read-heavy,1,1000000,4,16384,256,16000000,554737792,28.8425,0.6594,132.86,231.88,0.0022
c8,2,read-heavy,1,1000000,4,16384,256,16000000,559068714,28.6190,0.6592,133.13,236.18,0.0078
c9,0,read-heavy,1,1000000,4,16384,256,16000000,658537519,24.2963,0.6596,154.38,290.07,0.0121
c9,1,read-heavy,1,1000000,4,16384,256,16000000,656877214,24.3577,0.6596,153.23,289.33,0.0090
c9,2,read-heavy,1,1000000,4,16384,256,16000000,662325433,24.1573,0.6597,153.92,308.00,0.0112
moka,0,read-heavy,1,1000000,4,16384,0,16000000,2488973349,6.4284,0.6634,610.88,1093.07,0.0053
moka,1,read-heavy,1,1000000,4,16384,0,16000000,2437923770,6.5630,0.6631,595.18,1114.43,0.0043
moka,2,read-heavy,1,1000000,4,16384,0,16000000,2438365791,6.5618,0.6632,591.66,1102.85,0.0058
mini_moka,0,read-heavy,1,1000000,4,16384,0,16000000,2595571003,6.1643,0.6637,633.52,942.88,0.0029
mini_moka,1,read-heavy,1,1000000,4,16384,0,16000000,2678867550,5.9727,0.6637,645.67,1043.09,0.0050
mini_moka,2,read-heavy,1,1000000,4,16384,0,16000000,2662374897,6.0097,0.6636,647.33,1033.28,0.0014
c8,0,read-heavy,1,1000000,8,16384,256,32000000,752514156,42.5241,0.6619,189.07,286.33,0.0206
c8,1,read-heavy,1,1000000,8,16384,256,32000000,768157356,41.6581,0.6620,189.93,290.30,0.0232
c8,2,read-heavy,1,1000000,8,16384,256,32000000,773287683,41.3818,0.6620,191.02,307.15,0.0202
c9,0,read-heavy,1,1000000,8,16384,256,32000000,998794290,32.0386,0.6626,209.80,534.50,0.0047
c9,1,read-heavy,1,1000000,8,16384,256,32000000,1009858184,31.6876,0.6628,218.59,521.88,0.0095
c9,2,read-heavy,1,1000000,8,16384,256,32000000,997307451,32.0864,0.6627,207.82,549.19,0.0092
moka,0,read-heavy,1,1000000,8,16384,0,32000000,4486681649,7.1322,0.6662,1021.62,2035.07,0.0073
moka,1,read-heavy,1,1000000,8,16384,0,32000000,4491272551,7.1249,0.6662,1031.60,2078.22,0.0060
moka,2,read-heavy,1,1000000,8,16384,0,32000000,4346188826,7.3628,0.6660,995.15,1964.28,0.0068
mini_moka,0,read-heavy,1,1000000,8,16384,0,32000000,4461777682,7.1720,0.6672,1053.61,1885.49,0.0058
mini_moka,1,read-heavy,1,1000000,8,16384,0,32000000,4456359797,7.1807,0.6672,1056.53,1876.95,0.0093
mini_moka,2,read-heavy,1,1000000,8,16384,0,32000000,4723659701,6.7744,0.6670,1063.17,3380.35,0.0071
c8,0,read-heavy,1,1000000,16,16384,256,64000000,1104568309,57.9412,0.6629,244.15,618.16,0.0177
c8,1,read-heavy,1,1000000,16,16384,256,64000000,1188455366,53.8514,0.6630,251.68,874.47,0.0218
c8,2,read-heavy,1,1000000,16,16384,256,64000000,1151908539,55.5600,0.6629,247.62,874.76,0.0224
c9,0,read-heavy,1,1000000,16,16384,256,64000000,1709942132,37.4282,0.6639,382.43,1170.03,0.0112
c9,1,read-heavy,1,1000000,16,16384,256,64000000,1712968051,37.3621,0.6640,388.51,1102.96,0.0085
c9,2,read-heavy,1,1000000,16,16384,256,64000000,1692519189,37.8135,0.6640,386.40,1013.77,0.0076
moka,0,read-heavy,1,1000000,16,16384,0,64000000,6686487164,9.5715,0.6669,1500.24,4023.30,0.0098
moka,1,read-heavy,1,1000000,16,16384,0,64000000,6348789385,10.0807,0.6673,1442.98,3714.87,0.0065
moka,2,read-heavy,1,1000000,16,16384,0,64000000,6748409794,9.4837,0.6672,1489.32,4379.68,0.0080
mini_moka,0,read-heavy,1,1000000,16,16384,0,64000000,8142182246,7.8603,0.6680,1869.51,4770.25,0.0097
mini_moka,1,read-heavy,1,1000000,16,16384,0,64000000,8209367741,7.7960,0.6681,1909.61,4740.87,0.0055
mini_moka,2,read-heavy,1,1000000,16,16384,0,64000000,8182118212,7.8219,0.6685,1882.39,4819.43,0.0069
c8,0,read-heavy,1.2,1000000,1,16384,256,4000000,297153122,13.4611,0.8609,68.05,136.89,0.0000
c8,1,read-heavy,1.2,1000000,1,16384,256,4000000,273648588,14.6173,0.8609,64.62,127.87,0.0000
c8,2,read-heavy,1.2,1000000,1,16384,256,4000000,278183839,14.3790,0.8609,64.12,131.25,0.0000
c9,0,read-heavy,1.2,1000000,1,16384,256,4000000,269302976,14.8532,0.8609,63.09,128.39,0.0000
c9,1,read-heavy,1.2,1000000,1,16384,256,4000000,282806856,14.1439,0.8609,64.21,141.80,0.0000
c9,2,read-heavy,1.2,1000000,1,16384,256,4000000,257413211,15.5392,0.8609,61.45,112.41,0.0000
moka,0,read-heavy,1.2,1000000,1,16384,0,4000000,914114637,4.3758,0.8592,215.33,381.88,0.0000
moka,1,read-heavy,1.2,1000000,1,16384,0,4000000,953917317,4.1932,0.8592,220.52,461.15,0.0000
moka,2,read-heavy,1.2,1000000,1,16384,0,4000000,895988941,4.4643,0.8592,213.20,361.90,0.0000
mini_moka,0,read-heavy,1.2,1000000,1,16384,0,4000000,1113324231,3.5928,0.8592,264.55,451.20,0.0000
mini_moka,1,read-heavy,1.2,1000000,1,16384,0,4000000,1106625503,3.6146,0.8592,264.02,483.91,0.0000
mini_moka,2,read-heavy,1.2,1000000,1,16384,0,4000000,1133312414,3.5295,0.8592,268.50,480.31,0.0000
c8,0,read-heavy,1.2,1000000,2,16384,256,8000000,339997931,23.5296,0.8636,81.76,126.09,0.0084
c8,1,read-heavy,1.2,1000000,2,16384,256,8000000,356576521,22.4356,0.8636,83.77,147.70,0.0018
c8,2,read-heavy,1.2,1000000,2,16384,256,8000000,349084628,22.9171,0.8636,84.58,139.06,0.0013
c9,0,read-heavy,1.2,1000000,2,16384,256,8000000,431033778,18.5600,0.8643,103.03,194.80,0.0059
c9,1,read-heavy,1.2,1000000,2,16384,256,8000000,438461877,18.2456,0.8643,102.37,203.44,0.0105
c9,2,read-heavy,1.2,1000000,2,16384,256,8000000,421879424,18.9628,0.8644,97.32,210.74,0.0002
moka,0,read-heavy,1.2,1000000,2,16384,0,8000000,1579731735,5.0642,0.8647,380.29,658.42,0.0040
moka,1,read-heavy,1.2,1000000,2,16384,0,8000000,1555795606,5.1421,0.8647,374.57,632.36,0.0014
moka,2,read-heavy,1.2,1000000,2,16384,0,8000000,1570458705,5.0941,0.8647,377.97,650.87,0.0005
mini_moka,0,read-heavy,1.2,1000000,2,16384,0,8000000,2090808067,3.8263,0.8644,506.64,768.14,0.0045
mini_moka,1,read-heavy,1.2,1000000,2,16384,0,8000000,2069425788,3.8658,0.8644,503.46,793.89,0.0033
mini_moka,2,read-heavy,1.2,1000000,2,16384,0,8000000,2085988208,3.8351,0.8643,507.73,805.32,0.0004
c8,0,read-heavy,1.2,1000000,4,16384,256,16000000,397825318,40.2187,0.8644,94.35,163.12,0.0070
c8,1,read-heavy,1.2,1000000,4,16384,256,16000000,380558789,42.0434,0.8643,92.56,146.92,0.0020
c8,2,read-heavy,1.2,1000000,4,16384,256,16000000,401431842,39.8573,0.8646,94.72,162.10,0.0126
c9,0,read-heavy,1.2,1000000,4,16384,256,16000000,599713255,26.6794,0.8674,137.95,302.59,0.0020
c9,1,read-heavy,1.2,1000000,4,16384,256,16000000,595496132,26.8684,0.8674,136.81,290.32,0.0040
c9,2,read-heavy,1.2,1000000,4,16384,256,16000000,583965122,27.3989,0.8674,134.54,272.29,0.0083
moka,0,read-heavy,1.2,1000000,4,16384,0,16000000,2330577267,6.8653,0.8688,467.75,1147.64,0.0040
moka,1,read-heavy,1.2,1000000,4,16384,0,16000000,2319302192,6.8986,0.8690,485.84,1118.00,0.0061
moka,2,read-heavy,1.2,1000000,4,16384,0,16000000,2318123680,6.9021,0.8689,464.58,1149.84,0.0055
mini_moka,0,read-heavy,1.2,1000000,4,16384,0,16000000,2555238676,6.2616,0.8690,626.41,946.12,0.0022
mini_moka,1,read-heavy,1.2,1000000,4,16384,0,16000000,2613591773,6.1218,0.8692,638.64,958.68,0.0019
mini_moka,2,read-heavy,1.2,1000000,4,16384,0,16000000,2631405939,6.0804,0.8691,641.78,956.28,0.0041
c8,0,read-heavy,1.2,1000000,8,16384,256,32000000,492407514,64.9868,0.8629,110.22,194.55,0.0194
c8,1,read-heavy,1.2,1000000,8,16384,256,32000000,506096784,63.2290,0.8626,120.28,205.78,0.0159
c8,2,read-heavy,1.2,1000000,8,16384,256,32000000,511602869,62.5485,0.8625,113.88,215.51,0.0191
c9,0,read-heavy,1.2,1000000,8,16384,256,32000000,1911605088,16.7399,0.8701,446.74,948.52,0.0049
c9,1,read-heavy,1.2,1000000,8,16384,256,32000000,1883149427,16.9928,0.8702,444.43,883.75,0.0060
c9,2,read-heavy,1.2,1000000,8,16384,256,32000000,1885157153,16.9747,0.8701,446.19,877.26,0.0036
moka,0,read-heavy,1.2,1000000,8,16384,0,32000000,4119324279,7.7683,0.8714,941.92,1786.56,0.0058
moka,1,read-heavy,1.2,1000000,8,16384,0,32000000,4218246731,7.5861,0.8714,970.48,1802.26,0.0030
moka,2,read-heavy,1.2,1000000,8,16384,0,32000000,4058397565,7.8849,0.8716,930.91,1759.21,0.0034
mini_moka,0,read-heavy,1.2,1000000,8,16384,0,32000000,4903155601,6.5264,0.8719,1151.90,2275.81,0.0057
mini_moka,1,read-heavy,1.2,1000000,8,16384,0,32000000,4640327099,6.8961,0.8720,1105.82,1922.64,0.0067
mini_moka,2,read-heavy,1.2,1000000,8,16384,0,32000000,5042242176,6.3464,0.8719,1196.60,2197.63,0.0060
c8,0,read-heavy,1.2,1000000,16,16384,256,64000000,722836625,88.5401,0.8548,158.28,394.15,0.0117
c8,1,read-heavy,1.2,1000000,16,16384,256,64000000,720676296,88.8055,0.8542,161.50,343.55,0.0159
c8,2,read-heavy,1.2,1000000,16,16384,256,64000000,765165369,83.6420,0.8526,162.67,424.85,0.0145
c9,0,read-heavy,1.2,1000000,16,16384,256,64000000,6664947815,9.6025,0.8716,1650.79,2526.49,0.0029
c9,1,read-heavy,1.2,1000000,16,16384,256,64000000,6435432375,9.9449,0.8716,1593.26,2464.63,0.0030
c9,2,read-heavy,1.2,1000000,16,16384,256,64000000,6649646147,9.6246,0.8716,1645.42,2503.55,0.0035
moka,0,read-heavy,1.2,1000000,16,16384,0,64000000,6115010980,10.4660,0.8727,1417.49,3213.68,0.0077
moka,1,read-heavy,1.2,1000000,16,16384,0,64000000,6017390492,10.6358,0.8727,1331.14,3305.94,0.0112
moka,2,read-heavy,1.2,1000000,16,16384,0,64000000,6132924198,10.4355,0.8729,1434.43,2998.93,0.0062
mini_moka,0,read-heavy,1.2,1000000,16,16384,0,64000000,9657070838,6.6273,0.8735,2073.01,5882.73,0.0129
mini_moka,1,read-heavy,1.2,1000000,16,16384,0,64000000,9182926603,6.9695,0.8733,2176.34,4299.15,0.0104
mini_moka,2,read-heavy,1.2,1000000,16,16384,0,64000000,9627450155,6.6477,0.8734,2075.30,5814.77,0.0139
