trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,1000000,1024,1024,1,46492158,132154,867846,866822
1,j8_n32,cluster006,1000000,1024,32,32,30578619,131317,868683,867659
1,mini_moka,cluster006,1000000,1024,0,0,477259662,106818,893182,0
1,orig,cluster006,1000000,4096,4096,1,43387918,348606,651394,647298
1,j8_n128,cluster006,1000000,4096,32,128,31465804,351809,648191,644095
1,mini_moka,cluster006,1000000,4096,0,0,430430906,332655,667345,0
1,orig,cluster006,1000000,16384,16384,1,33788159,640281,359719,343335
1,j8_n512,cluster006,1000000,16384,32,512,31685739,638399,361601,345217
1,mini_moka,cluster006,1000000,16384,0,0,380141770,616547,383453,0
1,orig,cluster006,1000000,65536,65536,1,24614680,829343,170657,105121
1,j8_n2048,cluster006,1000000,65536,32,2048,26581833,827400,172600,107064
1,mini_moka,cluster006,1000000,65536,0,0,401357242,807254,192746,0
1,orig,cluster018,1000000,1024,1024,1,37493348,501676,498324,497300
1,j8_n32,cluster018,1000000,1024,32,32,29773944,510136,489864,488840
1,mini_moka,cluster018,1000000,1024,0,0,398080501,381555,618445,0
1,orig,cluster018,1000000,4096,4096,1,28610145,625267,374733,370637
1,j8_n128,cluster018,1000000,4096,32,128,30574485,627333,372667,368571
1,mini_moka,cluster018,1000000,4096,0,0,392859298,498468,501532,0
1,orig,cluster018,1000000,16384,16384,1,27313647,737810,262190,245806
1,j8_n512,cluster018,1000000,16384,32,512,30903711,736524,263476,247092
1,mini_moka,cluster018,1000000,16384,0,0,377152231,620060,379940,0
1,orig,cluster018,1000000,65536,65536,1,28235453,820608,179392,113856
1,j8_n2048,cluster018,1000000,65536,32,2048,25617787,820448,179552,114016
1,mini_moka,cluster018,1000000,65536,0,0,375293203,713484,286516,0
1,orig,cluster019,1000000,1024,1024,1,47815132,240886,759114,758090
1,j8_n32,cluster019,1000000,1024,32,32,31871252,304116,695884,694860
1,mini_moka,cluster019,1000000,1024,0,0,491879478,33860,966140,0
1,orig,cluster019,1000000,4096,4096,1,43946026,296407,703593,699497
1,j8_n128,cluster019,1000000,4096,32,128,33707025,316413,683587,679491
1,mini_moka,cluster019,1000000,4096,0,0,509909001,35626,964374,0
1,orig,cluster019,1000000,16384,16384,1,47583741,315254,684746,668362
1,j8_n512,cluster019,1000000,16384,32,512,34366218,321732,678268,661884
1,mini_moka,cluster019,1000000,16384,0,0,527523016,43440,956560,0
1,orig,cluster019,1000000,65536,65536,1,56315657,327455,672545,607009
1,j8_n2048,cluster019,1000000,65536,32,2048,35919640,328763,671237,605701
1,mini_moka,cluster019,1000000,65536,0,0,530025241,74719,925281,0
2,orig,cluster006,1000000,1024,1024,1,46648793,132154,867846,866822
2,j8_n32,cluster006,1000000,1024,32,32,30779390,131317,868683,867659
2,mini_moka,cluster006,1000000,1024,0,0,476989409,106990,893010,0
2,orig,cluster006,1000000,4096,4096,1,41850388,348606,651394,647298
2,j8_n128,cluster006,1000000,4096,32,128,31853436,351809,648191,644095
2,mini_moka,cluster006,1000000,4096,0,0,425508925,332636,667364,0
2,orig,cluster006,1000000,16384,16384,1,35713078,640281,359719,343335
2,j8_n512,cluster006,1000000,16384,32,512,32126782,638399,361601,345217
2,mini_moka,cluster006,1000000,16384,0,0,382354231,618317,381683,0
2,orig,cluster006,1000000,65536,65536,1,24020543,829343,170657,105121
2,j8_n2048,cluster006,1000000,65536,32,2048,27458256,827400,172600,107064
2,mini_moka,cluster006,1000000,65536,0,0,388389303,807308,192692,0
2,orig,cluster018,1000000,1024,1024,1,35206277,501676,498324,497300
2,j8_n32,cluster018,1000000,1024,32,32,30351873,510136,489864,488840
2,mini_moka,cluster018,1000000,1024,0,0,401605538,382071,617929,0
2,orig,cluster018,1000000,4096,4096,1,28753216,625267,374733,370637
2,j8_n128,cluster018,1000000,4096,32,128,29661737,627333,372667,368571
2,mini_moka,cluster018,1000000,4096,0,0,377772401,498111,501889,0
2,orig,cluster018,1000000,16384,16384,1,28906560,737810,262190,245806
2,j8_n512,cluster018,1000000,16384,32,512,29612107,736524,263476,247092
2,mini_moka,cluster018,1000000,16384,0,0,362243041,619695,380305,0
2,orig,cluster018,1000000,65536,65536,1,21927468,820608,179392,113856
2,j8_n2048,cluster018,1000000,65536,32,2048,26758783,820448,179552,114016
2,mini_moka,cluster018,1000000,65536,0,0,371414186,713563,286437,0
2,orig,cluster019,1000000,1024,1024,1,49391546,240886,759114,758090
2,j8_n32,cluster019,1000000,1024,32,32,31297979,304116,695884,694860
2,mini_moka,cluster019,1000000,1024,0,0,493977770,33867,966133,0
2,orig,cluster019,1000000,4096,4096,1,45620923,296407,703593,699497
2,j8_n128,cluster019,1000000,4096,32,128,32302815,316413,683587,679491
2,mini_moka,cluster019,1000000,4096,0,0,495137147,35487,964513,0
2,orig,cluster019,1000000,16384,16384,1,47893316,315254,684746,668362
2,j8_n512,cluster019,1000000,16384,32,512,39739092,321732,678268,661884
2,mini_moka,cluster019,1000000,16384,0,0,523072920,43523,956477,0
2,orig,cluster019,1000000,65536,65536,1,53873104,327455,672545,607009
2,j8_n2048,cluster019,1000000,65536,32,2048,37355770,328763,671237,605701
2,mini_moka,cluster019,1000000,65536,0,0,520582867,74958,925042,0
3,orig,cluster006,1000000,1024,1024,1,45229328,132154,867846,866822
3,j8_n32,cluster006,1000000,1024,32,32,29682837,131317,868683,867659
3,mini_moka,cluster006,1000000,1024,0,0,471760411,105842,894158,0
3,orig,cluster006,1000000,4096,4096,1,40966896,348606,651394,647298
3,j8_n128,cluster006,1000000,4096,32,128,31346750,351809,648191,644095
3,mini_moka,cluster006,1000000,4096,0,0,428033297,332844,667156,0
3,orig,cluster006,1000000,16384,16384,1,32720238,640281,359719,343335
3,j8_n512,cluster006,1000000,16384,32,512,30847581,638399,361601,345217
3,mini_moka,cluster006,1000000,16384,0,0,380686804,618183,381817,0
3,orig,cluster006,1000000,65536,65536,1,25251734,829343,170657,105121
3,j8_n2048,cluster006,1000000,65536,32,2048,24968665,827400,172600,107064
3,mini_moka,cluster006,1000000,65536,0,0,370539315,807628,192372,0
3,orig,cluster018,1000000,1024,1024,1,36949519,501676,498324,497300
3,j8_n32,cluster018,1000000,1024,32,32,30174863,510136,489864,488840
3,mini_moka,cluster018,1000000,1024,0,0,399146697,381563,618437,0
3,orig,cluster018,1000000,4096,4096,1,29554008,625267,374733,370637
3,j8_n128,cluster018,1000000,4096,32,128,30140119,627333,372667,368571
3,mini_moka,cluster018,1000000,4096,0,0,378879095,498006,501994,0
3,orig,cluster018,1000000,16384,16384,1,26669930,737810,262190,245806
3,j8_n512,cluster018,1000000,16384,32,512,31572179,736524,263476,247092
3,mini_moka,cluster018,1000000,16384,0,0,356503238,619515,380485,0
3,orig,cluster018,1000000,65536,65536,1,23063462,820608,179392,113856
3,j8_n2048,cluster018,1000000,65536,32,2048,27726226,820448,179552,114016
3,mini_moka,cluster018,1000000,65536,0,0,368157409,713539,286461,0
3,orig,cluster019,1000000,1024,1024,1,49106439,240886,759114,758090
3,j8_n32,cluster019,1000000,1024,32,32,33265399,304116,695884,694860
3,mini_moka,cluster019,1000000,1024,0,0,488910760,33589,966411,0
3,orig,cluster019,1000000,4096,4096,1,42399975,296407,703593,699497
3,j8_n128,cluster019,1000000,4096,32,128,32952939,316413,683587,679491
3,mini_moka,cluster019,1000000,4096,0,0,504757063,34956,965044,0
3,orig,cluster019,1000000,16384,16384,1,48980858,315254,684746,668362
3,j8_n512,cluster019,1000000,16384,32,512,32853647,321732,678268,661884
3,mini_moka,cluster019,1000000,16384,0,0,515757235,43355,956645,0
3,orig,cluster019,1000000,65536,65536,1,53475886,327455,672545,607009
3,j8_n2048,cluster019,1000000,65536,32,2048,36557150,328763,671237,605701
3,mini_moka,cluster019,1000000,65536,0,0,527789976,74599,925401,0
4,orig,cluster006,1000000,1024,1024,1,47037553,132154,867846,866822
4,j8_n32,cluster006,1000000,1024,32,32,30421504,131317,868683,867659
4,mini_moka,cluster006,1000000,1024,0,0,472501819,106594,893406,0
4,orig,cluster006,1000000,4096,4096,1,41801462,348606,651394,647298
4,j8_n128,cluster006,1000000,4096,32,128,32968901,351809,648191,644095
4,mini_moka,cluster006,1000000,4096,0,0,424195142,332832,667168,0
4,orig,cluster006,1000000,16384,16384,1,33641145,640281,359719,343335
4,j8_n512,cluster006,1000000,16384,32,512,30918099,638399,361601,345217
4,mini_moka,cluster006,1000000,16384,0,0,382490556,617903,382097,0
4,orig,cluster006,1000000,65536,65536,1,22204605,829343,170657,105121
4,j8_n2048,cluster006,1000000,65536,32,2048,25667903,827400,172600,107064
4,mini_moka,cluster006,1000000,65536,0,0,360052086,807572,192428,0
4,orig,cluster018,1000000,1024,1024,1,36659085,501676,498324,497300
4,j8_n32,cluster018,1000000,1024,32,32,30854761,510136,489864,488840
4,mini_moka,cluster018,1000000,1024,0,0,404930152,381666,618334,0
4,orig,cluster018,1000000,4096,4096,1,28848179,625267,374733,370637
4,j8_n128,cluster018,1000000,4096,32,128,30417710,627333,372667,368571
4,mini_moka,cluster018,1000000,4096,0,0,379419139,498522,501478,0
4,orig,cluster018,1000000,16384,16384,1,27585040,737810,262190,245806
4,j8_n512,cluster018,1000000,16384,32,512,29980932,736524,263476,247092
4,mini_moka,cluster018,1000000,16384,0,0,367965958,619609,380391,0
4,orig,cluster018,1000000,65536,65536,1,24224734,820608,179392,113856
4,j8_n2048,cluster018,1000000,65536,32,2048,26063509,820448,179552,114016
4,mini_moka,cluster018,1000000,65536,0,0,366501925,713395,286605,0
4,orig,cluster019,1000000,1024,1024,1,49310179,240886,759114,758090
4,j8_n32,cluster019,1000000,1024,32,32,33130383,304116,695884,694860
4,mini_moka,cluster019,1000000,1024,0,0,494257677,33669,966331,0
4,orig,cluster019,1000000,4096,4096,1,41853011,296407,703593,699497
4,j8_n128,cluster019,1000000,4096,32,128,32044927,316413,683587,679491
4,mini_moka,cluster019,1000000,4096,0,0,498713809,35521,964479,0
4,orig,cluster019,1000000,16384,16384,1,47881938,315254,684746,668362
4,j8_n512,cluster019,1000000,16384,32,512,34410129,321732,678268,661884
4,mini_moka,cluster019,1000000,16384,0,0,514625759,43536,956464,0
4,orig,cluster019,1000000,65536,65536,1,56083054,327455,672545,607009
4,j8_n2048,cluster019,1000000,65536,32,2048,36693223,328763,671237,605701
4,mini_moka,cluster019,1000000,65536,0,0,523559909,75428,924572,0
5,orig,cluster006,1000000,1024,1024,1,45618911,132154,867846,866822
5,j8_n32,cluster006,1000000,1024,32,32,29628956,131317,868683,867659
5,mini_moka,cluster006,1000000,1024,0,0,477641598,106579,893421,0
5,orig,cluster006,1000000,4096,4096,1,40972988,348606,651394,647298
5,j8_n128,cluster006,1000000,4096,32,128,31174760,351809,648191,644095
5,mini_moka,cluster006,1000000,4096,0,0,429897523,332571,667429,0
5,orig,cluster006,1000000,16384,16384,1,33298604,640281,359719,343335
5,j8_n512,cluster006,1000000,16384,32,512,30689825,638399,361601,345217
5,mini_moka,cluster006,1000000,16384,0,0,379721586,617038,382962,0
5,orig,cluster006,1000000,65536,65536,1,25809791,829343,170657,105121
5,j8_n2048,cluster006,1000000,65536,32,2048,25784410,827400,172600,107064
5,mini_moka,cluster006,1000000,65536,0,0,372034992,807537,192463,0
5,orig,cluster018,1000000,1024,1024,1,36173115,501676,498324,497300
5,j8_n32,cluster018,1000000,1024,32,32,30178930,510136,489864,488840
5,mini_moka,cluster018,1000000,1024,0,0,401712856,381899,618101,0
5,orig,cluster018,1000000,4096,4096,1,28662511,625267,374733,370637
5,j8_n128,cluster018,1000000,4096,32,128,30598604,627333,372667,368571
5,mini_moka,cluster018,1000000,4096,0,0,376695859,497997,502003,0
5,orig,cluster018,1000000,16384,16384,1,26269687,737810,262190,245806
5,j8_n512,cluster018,1000000,16384,32,512,30713243,736524,263476,247092
5,mini_moka,cluster018,1000000,16384,0,0,371812322,619966,380034,0
5,orig,cluster018,1000000,65536,65536,1,22505556,820608,179392,113856
5,j8_n2048,cluster018,1000000,65536,32,2048,27916636,820448,179552,114016
5,mini_moka,cluster018,1000000,65536,0,0,367401482,713527,286473,0
5,orig,cluster019,1000000,1024,1024,1,50957067,240886,759114,758090
5,j8_n32,cluster019,1000000,1024,32,32,32142114,304116,695884,694860
5,mini_moka,cluster019,1000000,1024,0,0,492072462,33527,966473,0
5,orig,cluster019,1000000,4096,4096,1,42332179,296407,703593,699497
5,j8_n128,cluster019,1000000,4096,32,128,31919301,316413,683587,679491
5,mini_moka,cluster019,1000000,4096,0,0,493259389,35325,964675,0
5,orig,cluster019,1000000,16384,16384,1,50656092,315254,684746,668362
5,j8_n512,cluster019,1000000,16384,32,512,33772036,321732,678268,661884
5,mini_moka,cluster019,1000000,16384,0,0,508174090,43599,956401,0
5,orig,cluster019,1000000,65536,65536,1,56787174,327455,672545,607009
5,j8_n2048,cluster019,1000000,65536,32,2048,36299211,328763,671237,605701
5,mini_moka,cluster019,1000000,65536,0,0,523600580,75210,924790,0
